k,Tweeted?,submitted,uni,aff,year,body,additonal-info
Y,FALSE,6/28/2020 1:39:04,Brown University,Student,2023,I was at a formal dinner where a doctor was speaking about the doctor-patient relationship. She is of African descent and so was her patient. She told us about how she saved his life after white paramedics invalidated his pain and made him wait in the waiting room even though he was dying there. Long story short they end the presentation and the kids at my dinner table were giggling because they “didn’t think racism was still a thing” and said they didn’t believe her story. They also said “He’s really lucky another African was there to help him”,
NO POST,FALSE,6/28/2020 2:47:38,Brown University,Alumni,2017,"Pre orientation at Brown a girl told me “you’re so lucky to be black and from the south. It’s so much easier getting into brown as a black girl from the south than as a white girl from Connecticut”

Also the provosts son who shouldn’t have even been at the school (pretty sure he was kicked out of music school for his drug problem and so his dad put him at brown) sexually assaulted me while I was having a psychotic episode

The night of the Trump election November 2016 my Black friend left our house and was racially harassed by the rugby boys who lived next door who cheered and shouted epithets at him from their porch",
Y,FALSE,6/28/2020 3:41:39,Brown University,Alumni,2017,"Pre orientation at Brown a girl told me “you’re so lucky to be black and from the south. It’s so much easier getting into brown as a black girl from the south than as a white girl from Connecticut”

Also the provosts son who shouldn’t have even been at the school (pretty sure he was kicked out of music school for his drug problem and so his dad put him at brown) sexually assaulted me while I was having a psychotic episode

The night of the Trump election November 2016 my Black friend left our house and was racially harassed by the rugby boys who lived next door who cheered and shouted epithets at him from their porch",
Y,FALSE,6/28/2020 3:50:31,Brown University,Student,2023,"A white boy who didn’t get into the eight year program would constantly try to downplay my successes and correct me. At one point, he expressed confusion at the fact that he didn’t get in because his essays were really good. We both took the same chemistry class first semester, and he would ask me about grades on various exams and assignments. It was almost as if he was looking for reasons to discredit me. White people have a hard time believing that they just aren’t qualified, and things become worse when they find out a Black person has something they want.",He later unfollowed me on social media when I began using my platforms to discuss race-related issues at Brown.
NO POST,FALSE,6/28/2020 10:08:20,Brown University,Alumni,2017,"During Halloween, my Asian professor with no real costume on announced to the class he was dressed up as an ""educated Mexican.""",I am a brown man. I apologize if I am overstepping for sharing a non-black experience 
NO POStt,FALSE,6/28/2020 16:33:53,Brown University,Alumni,2017,"Pre orientation at Brown a girl told me “you’re so lucky to be black and from the south. It’s so much easier getting into brown as a black girl from the south than as a white girl from Connecticut”

Also the provosts son who shouldn’t have even been at the school (pretty sure he was kicked out of music school for his drug problem and so his dad put him at brown) sexually assaulted me while I was having a psychotic episode

The night of the Trump election November 2016 my Black friend left our house and was racially harassed by the rugby boys who lived next door who cheered and shouted epithets at him from their porch",
NO POST,FALSE,6/28/2020 16:57:24,Brown University,Alumni,2017,"Pre orientation at Brown a girl told me “you’re so lucky to be black and from the south. It’s so much easier getting into brown as a black girl from the south than as a white girl from Connecticut”

Also the provosts son who shouldn’t have even been at the school (pretty sure he was kicked out of music school for his drug problem and so his dad put him at brown) sexually assaulted me while I was having a psychotic episode

The night of the Trump election November 2016 my Black friend left our house and was racially harassed by the rugby boys who lived next door who cheered and shouted epithets at him from their porch",
NO POST,FALSE,6/28/2020 17:58:37,Brown University,Alumni,2017,"Pre orientation at Brown a girl told me “you’re so lucky to be black and from the south. It’s so much easier getting into brown as a black girl from the south than as a white girl from Connecticut”

Also the provosts son who shouldn’t have even been at the school (pretty sure he was kicked out of music school for his drug problem and so his dad put him at brown) sexually assaulted me while I was having a psychotic episode

The night of the Trump election November 2016 my Black friend left our house and was racially harassed by the rugby boys who lived next door who cheered and shouted epithets at him from their porch",
Y,FALSE,6/28/2020 20:10:59,Brown University,Student,2017,I was solving a rubik’s cube at a party and a white boy told me I was stupid for taking more than one minute to solve it. I solved it in 1:13 despite not having picked one up since middle school (my record is :27). I have a hard time imagining he would’ve called a white peer stupid for doing so. ,
Y,FALSE,6/29/2020 19:11:43,Brown University,Alumni,17,I was told by a professor during office hours that I should consider transferring to an HBCU because studying the sciences at Brown “was perhaps too hard for me.” ,
Y,TRUE,6/29/2020 23:45:38,Brown University,Student,2022,My first year I was outside Keeney one night when this white boy chanted “white power.” But Brown students boast of their progressiveness...,
Y,TRUE,6/30/2020 8:55:29,Brown University,Student,2018,"During my freshman and sophomore year at Brown on the Track & Field team there were a few racist and sexist athletes on the men’s team in my event group who went out of there way to say and do things to let me know, because I was a Black woman I was not welcome in their space. I was verbally harassed from March 2015 to May 2016. I was the target of racist jokes and hate speech about Black people, African people, women and the intersection of all three. Things like “The only way you’ll ever get a man is if you’re on your knees” and “Black people just aren’t as good at math and science as other people” were things I heard on a daily basis for multiple years. There were even times when I was physically blockaded from practice spaces for refusing to engage in debates about racist topics. I stood up to my teammates time and time again insisting racist words and behaviors shouldn’t be allowed in practice and competition settings but they always brushed it off. I eventually went to the head coach about what I was experiencing and he assured me the matter would be addressed. I came to find out the matter was “handled” by the head coach having a singular 15 minute meeting with some members of the men’s team about their behavior. After said meeting I was accused by the individual at the center of the hate speech and harassment of “trying to derail his life and his future” by coming forward. There was no follow up conversation, no disciplinary action, no further discourse or inquiry, no anything after that meeting. I went to President Paxson’s open office hours about the issue and how it needed to be addressed and she looked me in my face and asked me what “I was going to do to fix the problem” which threw me off because I was unprepared for the leader of the University to put the issue back on me. When I was elected a captain of the team and was taking steps to create a healthy space for Black student athletes on the team I was met with tremendous opposition by the coaching staff who insisted I was taking things too far and making unnecessary waves. The lack of support for Black student athletes within Brown’s athletic department and the overall university is incredibly repulsing but not at all surprising.",My apologies if this is too long. I can cut it down if needed.
Y,TRUE,6/30/2020 9:24:54,Brown University,Parent,,"I was a parent visiting my two children that were students at Brown at the time for parents’ weekend. While I was walking down Brown Street, I overheard a white student telling his friend, “I’m not racist, but they should build a fence around campus. I’ve seen too many of them lately.”",
Y,FALSE,6/30/2020 9:36:39,Brown University,Alumni,17,"I was living in New Dorm, and I swung right around the corner to the Minimart to buy snacks. On my way out a DPS officer starting asking me questions about where I went to school. He said, “Are you in school, where do you go, Johnson and Wales?” I told him that I was a Brown student, but in my mind I was confused to how he could assume I went to a school that was 2 miles away opposed to the one that we were both physically located. His next question put it all in context when he asked me what sport I played at Brown. He couldn’t believe a Black man like myself could be a Brown student and be there for reasons other than athletics. When I told him I was a pre-med and scientist in training, he got really uncomfortable  and ended the conversation.",
Y,FALSE,6/30/2020 19:17:00,Brown University,Student,2021,During an important meeting someone told me she was glad I straightened my hair because I looked more “professional” ,
Y,FALSE,6/30/2020 21:47:14,Brown University,Student,2021,"There were people having a party in the room next to mine late at night, and these drunk white men kept banging on my door and trying to enter my dorm room. My RPL was shit, so I felt like I had no choice but to call DPS because I was worried for my safety. I called them, and they responded about 30 minutes later. By then, the party had ended. The officers accused me of lying to get attention.",
Y,FALSE,6/30/2020 21:49:08,Brown University,Student,2021,"In my chemistry and bio stats classes, I have been accused by TAs in front of other students that I only go to office hours to get answers because I am too stupid to figure it out on my own.",
Y,FALSE,7/1/2020 20:40:12,Brown University,Alumni,2020,"While visiting a friend at Harvard, some white guy said that a black man looked like a “literal monkey” while talking to me, a black person. When he saw the disbelief in our faces, he tried to elaborate on what he meant, which just made it more racist. ",
Y,FALSE,7/1/2020 23:35:18,Brown University,Student,21,"While doing a project focusing on providing subsidies in an East African country for Clorin, an Asian-American peer joked “Fake hair is a necessity. This is why educational campaigns are important.” I expressed my disappointment and she responded, “I was kidding :)) find it funny.”",
Y,FALSE,7/2/2020 20:32:17,Brown University,Student,2023,"My laptop was stolen from Andrews Dorm by people who lived in another state. My friend and I had to give DPS the report and they continuously called us in to give them more information about the suspects and the location of our lost devices. They continued to blame my friend and I for leaving it in a dorm that we thought was safe and said we should’ve expected it to be stolen (even though the people who took it don’t even live in RI or go to Brown and trespassed). They then continued to ask me if I had insurance but then quickly corrected himself and said “silly me, i doubt you have insurance but ask your parents maybe they are smart enough to think about that”. The officer also continuously called me and my friend the wrong names (very stereotypical names for our race). Not to mention they never got information about the suspects themselves and told us to do all the work to find them and their information. After finding them they refused to get the devices back and only called them asking them nicely to return them. My parents were obviously angry about the situation and called DPS but the officer refused to talk to them because they have an accent (but speak fluent english). Needless to say I never got my stuff back, was blamed for it being stolen in the first place, and the officer refused to continue the case. He told me to just get a new one and forget about the one that was taken.",
NO POST,FALSE,7/3/2020 1:05:13,Brown University,Student,2020,"I was wearing a school hoodie and hanging posters for an event once and had my hands full while trying to get my ID to swipe into a building. A white DPS officer rode up on his bike and swiped me in, then said ""don't worry, I look just as much a criminal as you do."" The only thing his awkward attempt at reassurance told me was the officer saw a Black man and thought immediately of criminality.",
Y,FALSE,7/3/2020 16:30:42,Brown University,Student,22,"I’ll never forget the day freshman year when I was at a pregame in my friend’s dorm room and DPS came to shut it down. There had to have been about upwards of 20 white people drinking when they came but as I left the head officer whispered to her partner “keep an eye on that one”. “That one” referring to me, the only POC at the pregame who wasn’t even drinking. ",
Y,FALSE,7/4/2020 2:43:05,Brown University,Student,2020,The sexual racism on this campus is rampant and strangely unapologetic. Men have been unafraid to say to my dark skinned black face that they couldn’t fathom being with a dark skinned black woman. How am I meant to react to constantly being told my skin is a deal breaker? ,
Y,FALSE,7/5/2020 2:31:01,Brown University,Student,2023,I was hanging out with some friends in their dorm building and it was too late for me to catch the shuttle to go to my own dorm on the other side of campus. My friend’s roommate was gone for the weekend so she let me sleep in her room (i slept on the floor with a sleeping bag on my friends side of the room). Once her roommate found out I spent the night there she told one of the heads of ResLife that she didn’t feel comfortable having me in the room because she has valuable things like her iPad there and didn’t want me to steal it....She’s planning on majoring in social justice btw.,
NO POST,FALSE,7/5/2020 2:35:33,Brown University,Student,2023,I was hanging out with some friends in their dorm building and it was too late for me to catch the shuttle to go to my own dorm on the other side of campus. My friend’s roommate was gone for the weekend so she let me sleep in her room (i slept on the floor with a sleeping bag on my friends side of the room). Once her roommate found out I spent the night there she told one of the heads of ResLife that she didn’t feel comfortable having me in the room because she has valuable things like her iPad there and didn’t want me to steal it....She’s planning on majoring in social justice btw.,"this same girl told me to change my schedule because she didn’t think I could pass orgo and stat together in one semester. she assumed by my appearance that I went to public school and then said that someone with my “little academic training” shouldn’t be taking hard classes. She proceeded to tell me she took hard classes at her school which was “actually good” and that if I want to be premed and get good grades then I should dumb down my schedule. She’s in the chemistry class below me. And again, is approved to do an Independent Concentration in “Social Justice and Medicine”"
Y,FALSE,7/9/2020 3:17:53,Brown University,Alumni,2019,"We were cleaning off tarps after a backpacking trip as a part of a club - we had all known each other for about a year at this point. It was taking a while to shake off the water from our large tarp - the person across from me suggested “why don’t you just use your hair?” Yes. Why don’t I just use my hair, like a mop?",I know this person intended to make a joke but I hope they reflect and ask themselves why they thought and verbalized this. I think about it often as I considered this person a friend. 
,FALSE,7/11/2020 14:20:15,Brown University,Student,2023,It was the night of the first big college party at a club (you had to show student ID to get in). We were going to Uber to the party but our group was too big for one car so we split into two groups. About half of the group was white and the other half were other minorities. All the minority students got together in one Uber and one person couldn’t fit in the car so the other group said I could go with them (I had the lightest skin). Once our Uber came to pick us up the white students made me sit in the front so none of them got to sit next to me or the Hispanic driver. After the party they left without me.,
Y,FALSE,7/12/2020 0:43:50,Brown University,Student,2023,"One night I was getting food from Jo's and while I was in line to pay I made brief eye contact with the security guard. I paid, took my food to my seat, and then upon realizing I forgot to get a drink, I headed back to grab some lemonade. The security guard stops me on my way back to my seat, telling me I couldn't just walk away without paying. I was in disbelief. He had seen me pay. In addition, I definitely was not the only student who made the return trip to get a drink, and he had only stopped me.",
Y,FALSE,7/14/2020 18:44:45,Brown University,Alumni,2016,"In the midst of campus protest and discussions about white supremacy on campus after former NYPD police commissioner Ray Kelly was invited to speak on campus, I was at a dinner with a group of white people. After reflecting on how relieved they were not to have to talk about race in their classes (as STEM and English concentrators), they talked at length about how the group could go as the PowerPuff Girls. The white people could be the PowerPuff Girls and then I, the only Black person present, could be Mojo Jojo (the villainous monkey)! ",
Y,FALSE,7/16/2020 22:10:59,Brown University,Student,2023,A guy at a party laughed in my face when he thought I was hitting on him. He felt the need to repeat “I don’t date dark skins” over and over and over. ,
Y,FALSE,7/21/2020 9:59:36,Brown University,Alumni,1998,"I'm a Harvard alum, too--and I have so many stories there--it's nuts. stuff at Brown, too--where I did a postdoc, and the next year, I was on the cover of the UNDERGRAD admissions brochure--except--I was a postdoc. And they didn't ask me--or tell me--that they were going to use my image to sell their school to people under the false pretenses that I was an undergraduate there. Or that they respect or acknowledge blackness.",I’ll share some Harvard stories on the form later. They’re scorching.
Y,FALSE,7/21/2020 16:00:35,Brown University,Student,2022,"Literally my first night at Brown, I ended up at this kickback/pregame where a white kid was flirting with a girl. I heard him say to her, “say it. say nigger.” She looked a little uncomfortable but the two of them just giggled while everyone else in the room pretended not to hear. Brown has this reputation of being super ‘liberal’ or ‘politically correct’ but...nah. ",
Y,FALSE,7/21/2020 21:54:45,Brown University,Student,2021,I can’t wait to leave this shithole. People say Brown is the most progressive Ivy League but there is a group of people that call me Brown Square because I’m brown and at Brown. I don’t even really know how to react to this and only my close friends know.,
Y,FALSE,8/1/2020 0:00:47,Brown University,Student,2022,"As a member of the mock trial team, I’ve  had many experiences cut away at my sense of self. On my fall team, I was the only Black person and POC. I wasn’t allowed to write my own material, and a teammate would delete my suggestions to my own direct examination. The captain dismissed my ideas, only to approve them after my white teammates echoed my thoughts moments later. They told me I needed to be more confident, oblivious to the fact that it was their treatment of me that stole my confidence in the first place. In the spring, I got placed on the C team with all but one of the POC of the program, and they gave us no resources to improve. But the icing on the cake was when some of my fall teammates suggested we dress as Hispanic people for a party, “with red lipstick, sass, and an offensive accent.” I was the only person who called them out for their remarks, and though I received individual apologies,  I asked the ombudsman for an anti-racist workshop at the very least to address the structural issues of the program. Though the E-board said they’d “consider” it, it’s been since November, and they’ve done nothing. When I followed up, the ombudsman told me E-board didn’t want to “exacerbate tension.”  They never cared about the tension I felt. ","If you truly  have to edit it for length , please keep all the individual stories, and just shorten the language. Each part is important to me. Thank you!"
Y,FALSE,8/1/2020 4:59:42,Brown University,Student,2023,"I went to a PWI high school and I remember receiving much less respect, and even hate for getting into an Ivy. Every kid told me that I didn’t deserve to get into the school and that it was luck. Most of the white students that got into other non-Ivy schools received more praise for their acceptance than I did. To make things worse, my best friend told me that I only got into Brown because I was black and that he could’ve gotten in easily because he had a higher SAT score than me. He goes to Penn now and it hurts to know that he was probably right.",
Y,FALSE,8/2/2020 18:46:19,Brown University,Student,2020,"I’ll never forget an interaction I had with DPS one day before the start of my junior year when a friend and I were walking down Thayer st.on our way to the bookstore. Now mind you, we only spoke to him to figure out why the bookstore was closed , and after preceding to tell us there was a bomb threat in front of the store and they were there to check it out, he figured that was the perfect time to tell us about his life story. Part of his story included that his great great great grandfather was Native American and was forced to sleep outside the tents during the Civil War. He therefore “understood” discrimination and could relate to us, two Black Womxn. He also proceeded to tell us that he knew white people had really messed up and his only hope was that we (me, my friend, and I’m assuming the rest of the black community) would take it easy on his grandchildren as white people became the minority in the U.S. ",His name was Officer Lionel Butterfield if this ever needs to be reported somewhere.
Y,FALSE,8/2/2020 19:15:15,Brown University,Student,2020,"During move-in for my first year at Brown, an Asian student called an RPL to report a suspicious Black man hanging around one of the dorm entrances. That Black man was my father who was waiting for me to come back down and open the door because we were literally in the process of moving my things into my dorm, like all of the other parents and students moving in that weekend. ",
CORNELL,FALSE,8/7/2020 20:52:15,Brown University,Student,2024,"I am currently an incoming freshman at Brown, but I went to high school with someone in the grade above me who attends Cornell. I remember one day of my junior year and his senior year we were talking about his application process and somehow we started talking about his ACT scores, which were very high. I made a comment basically congratulating him and saying that his high test scores could help him get into very selective schools (noting that standardized test scores are NOT the most important thing when it comes to applying to college). His response to me was “Yeah, but I’m white.” As an Afro-Latina, I felt so uncomfortable by his response and I couldn’t help but feel disappointed when I found out that he was accepted to Cornell with this attitude. Comments like the one he made perpetuate the idea that standards are lowered for POC students because of Affirmative Action and etc., making us feel like we don’t belong at these PWIs. These comments are honestly disgusting and I encourage anyone reading this to call people out when they say ignorant things like this. ","Please color this post using the Cornell colors as it is about a student at Cornell, not Brown "
,FALSE,8/10/2020 20:03:04,Brown University,Student,2023,"I actually go to another institution but felt I needed to share. During my Brown alumni interview when I was applying, my interviewer and I got to the topic of Brown's history of slavery and how they're only now (and very slowly) addressing this part of themselves. Needless to say I turned down my acceptance.",
Y,FALSE,8/16/2020 18:37:08,Brown University,Student,24,"I attended a PW high school. Although I have legacy at Yale, I was discouraged by my peers to apply saying that if they wouldn't get in, I would have no chance. I was told by my teacher in front of my AP BIO class that because I was not top 10 in my class, even with legacy and the hours of community service that they would not consider me. I did not apply to Yale. When I applied to Brown and got in, I cried. I told my teacher and he told me I got in because I was Black in front of the class. I lost all of my friends because I got into Brown. As soon as you are a threat, they ignore you.",
Y,FALSE,8/16/2020 21:03:46,Brown University,Student,2023,"Couple days after moving in, my roommate had one of his teammates over and they were talking about something. Both of them are white recruited athletes. Then I heard his friend say “that nigga” referring to the person he was talking about. This was my first time in a situation like that because I had never been around white people. I proceeded to say “excuse me what did you just say?” And he responded “sorry, didn't mean it like that.” I responded “nah idc how you meant it, just never say it again.""",
Y,FALSE,8/19/2020 20:29:25,Brown University,Alumni,,"I taught myself how to do Marley twists one year while living in-house in [sorority]. After spending several hours installing them I went to the lounge to show my sorority sisters. One of them, who is white, smiled and said, completely sincerely, “that’s so cool! But I feel like I should be afraid of you now!”

Sis what? It’s a hairstyle, not a crossbow.",
Y,FALSE,8/19/2020 22:27:48,Brown University,Student,2022,"I have legacy at Brown, and I 100% acknowledge that huge privilege. I worked my ass off for Brown and was overjoyed when I got in. But when students hear I am a legacy, they immediately insinuate (or straight up tell me) that it’s because of my legacy. I can’t help but notice that they don’t say the same thing to my white legacy friends. POC work hard for something, acknowledge their multilayered privilege, and still people think we can’t achieve shit. It must’ve been “gifted” to us.",
Y,FALSE,8/31/2020 15:12:51,Brown University,Student,2022,There is a girl my year on the tennis team who posts outright racist/transphobic/homophobic posts on her page and nobody says anything because she is pretty. It hurts to see someone that has these views treated so highly on campus ,
Y,FALSE,9/16/2020 18:58:03,Brown University,Student,2023,"Even after graduating high school with the top leadership position available, captaining two varsity sports teams, and boasting academic stats that are well within the median for accepted students at Brown—I have yet to feel deserving of my position.

 After hearing a supposed “friend” in high school tell me that I had achieved cum laude status because I was black, I thought I’d shrugged off the comment but the feeling has only gotten more pronounced. Now, whenever I inevitably fall short of academic glory it feels destined. And whenever I attain academic success, it’s underwhelming.",
Y,FALSE,6/15/2020 11:25:45,Columbia University,Alumni,2018,"At night, there was a guard stationed at the Barnard gates. Every night, groups of white people would pass in front of me without being asked to show their IDs. I was always stopped, even when walking with groups of other non-black people. Just me. ",
Y,FALSE,6/15/2020 11:29:37,Columbia University,Alumni,2018,"During NSOP we had the option to take a Harlem tour and I heard multiple white classmates say they didn’t feel safe going into Harlem. An administrator even recommended students didn’t travel further than 120th street to avoid assault and robbery. Most assaults and robberies I knew of happened above 120th, most happened on campus itself. ",
Y,FALSE,6/16/2020 17:49:37,Columbia University,Alumni,2016, ,
Y,FALSE,6/19/2020 17:26:57,Columbia University,Student,2021,"I am a FGLI black student at Columbia. I am highly involved with student clubs here and also a member of a multicultural fraternity. My sophomore year I attended a social event hosted by a Jewish student club. While waiting for the bathroom I overheard a private conversation from a group of these Jewish students in their dorm room making fun of some members of my fraternity while using the n-word very profusely. I was shocked and went back downstairs, not knowing how to react. The group rejoined the party later, even coming up to me, smiling, as if nothing happened. I hate how fake and subversive many of my peers are at Columbia. These are the same people advocating for our rights on social media for clout. I no longer associate with those people. Disgusting.  ",
Y,FALSE,6/22/2020 17:40:14,Columbia University,Alumni,2019,"The semester I graduated, a white supremacist student was caught on video publicly harassing Black students. I was talking about the incident with 3 white friends and mentioned saving the original video because I “don’t trust white people”. A self-proclaimed “liberal” a table over turned around and yelled at me, saying, “it would be racist if I said that about Black people!” Both my friends and his sat in complete silence as I was forced to explain how racism and white privilege worked, all the while being TERRIFIED that he was going to attack me further. My friends later apologized for saying nothing, the “liberal”.... not so much.",
Y,FALSE,6/22/2020 17:43:52,Columbia University,Alumni,2019,"I worked as a tour guide for Columbia for two years. During that time I’ve had multiple people tell me my English was really good, to the extent of questioning my family members when they visited and came on a tour. My (Black woman) boss also once penalized me because some white people reported me as being racist.... when they literally weren’t paying attention and misheard me.",
Y,TRUE,6/23/2020 17:24:52,Columbia University,Alumni,2019,"It’s me, Columbia tour guide again! I once had an older, bald, white man on my tour ask me where I was really from because, and I quote, my hair was “a bit nappy”.",
